id,title,url,platform,deadline,prize_inr,tech_tags,mode,description,embedding,reputation_score,difficulty_score
h13,Unstop EdTech Sprint,https://unstop.com/hackathons/edtech-2026,unstop,2026-10-01,75000,"EdTech,Learning,Web",online,Education technology platforms for students.,"[0.1,0.25,0.35,0.45,0.55]",0.8,0.45
h14,Devfolio GameDev Jam,https://devfolio.co/hackathons/gamedev-2026,devfolio,2026-09-30,85000,"GameDev,Unity,C#",offline,Indie game development with multiplayer features.,"[0.3,0.2,0.4,0.5,0.6]",0.85,0.6
h15,Hackerearth Cybersecurity Challenge,https://hackerearth.com/challenges/cyber-2026,hackerearth,2026-10-10,95000,"Cybersecurity,Security,Cloud",online,Build defensive security tools with cloud-native stacks.,"[0.5,0.6,0.7,0.8,0.9]",0.75,0.75
h16,Devpost Climate Tech Hack,https://devpost.com/hackathons/climate-2026,devpost,2026-09-29,130000,"Climate,IoT,Sustainability",online,Sustainability and climate monitoring applications.,"[0.2,0.3,0.4,0.5,0.4]",0.9,0.55
h17,MLH Women in Tech Hackathon,https://mlh.io/hackathons/women-tech-2026,mlh,2026-10-02,140000,"Web,Mobile,Inclusive Design",online,Projects by women in technology. All skill levels welcome.,"[0.3,0.4,0.5,0.6,0.7]",0.9,0.5
h18,Unstop E-commerce Sprint,https://unstop.com/hackathons/ecommerce-2026,unstop,2026-09-26,65000,"E-commerce,API,Web",online,E-commerce platforms with AI recommendations.,"[0.2,0.3,0.4,0.3,0.4]",0.8,0.45
h19,Devfolio Design Systems Hack,https://devfolio.co/hackathons/design-systems-2026,devfolio,2026-10-14,55000,"Design,UI,UX",offline,Component libraries and design token systems.,"[0.15,0.25,0.35,0.45,0.55]",0.85,0.35
h20,Hackerearth IoT Sprint,https://hackerearth.com/challenges/iot-2026,hackerearth,2026-09-24,72000,"IoT,Raspberry Pi,Cloud",online,Connected devices with cloud data pipelines.,"[0.4,0.5,0.6,0.7,0.3]",0.75,0.65
h21,Devpost AR/VR Challenge,https://devpost.com/hackathons/arvr-2026,devpost,2026-10-25,105000,"AR,VR,3D",online,Immersive experiences with WebXR and 3D graphics.,"[0.3,0.4,0.5,0.6,0.6]",0.9,0.7
h22,MLH Accessibility Hack,https://mlh.io/hackathons/accessibility-2026,mlh,2026-09-23,125000,"Accessibility,A11y,Web",online,Web accessibility tools and inclusive interfaces.,"[0.2,0.3,0.4,0.5,0.6]",0.9,0.4
h23,Unstop Agriculture Hack,https://unstop.com/hackathons/agritech-2026,unstop,2026-10-07,88000,"Agriculture,IoT,Data",online,Precision farming and crop monitoring solutions.,"[0.3,0.4,0.5,0.45,0.35]",0.8,0.6
h24,Devfolio Robotics Sprint,https://devfolio.co/hackathons/robotics-2026,devfolio,2026-10-22,115000,"Robotics,Embedded,C++",offline,Autonomous systems with real-time sensor data.,"[0.5,0.6,0.7,0.8,0.9]",0.85,0.8
h25,Hackerearth Health AI Sprint,https://hackerearth.com/challenges/health-ai-2026,hackerearth,2026-09-28,92000,"Health,AI,Data",online,AI-driven health diagnostics with real-time processing.,"[0.4,0.5,0.6,0.5,0.4]",0.75,0.6
h26,Devpost Education AI Hack,https://devpost.com/hackathons/ed-ai-2026,devpost,2026-10-18,98000,"Education,AI,NLP",online,AI tutors and personalized learning platforms.,"[0.2,0.3,0.4,0.5,0.6]",0.9,0.55
h27,MLH Smart City Hackathon,https://mlh.io/hackathons/smart-city-2026,mlh,2026-10-30,170000,"Smart City,IoT,Data",hybrid,Urban infrastructure and smart city applications.,"[0.5,0.6,0.7,0.8,0.9]",0.9,0.75
h28,Unstop Social Impact Sprint,https://unstop.com/hackathons/social-impact-2026,unstop,2026-10-06,58000,"Social Impact,Nonprofit,Web",online,Solutions for NGOs and community development.,"[0.1,0.2,0.3,0.4,0.5]",0.8,0.3
h29,Devfolio Cybersecurity Buildathon,https://devfolio.co/hackathons/cyber-build-2026,devfolio,2026-09-20,105000,"Cybersecurity,Cloud,API",offline,Security-first cloud architectures with real-time monitoring.,"[0.5,0.6,0.7,0.8,0.9]",0.85,0.75
h30,Hackerearth Gaming AI Sprint,https://hackerearth.com/challenges/gaming-ai-2026,hackerearth,2026-10-04,78000,"Gaming,AI,ML",online,AI-powered game mechanics and player experience optimization.,"[0.3,0.4,0.5,0.6,0.7]",0.75,0.55
